City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°C)
0,adamstown,-25.066,-130.1015,290.87,53,100,11.42,PN,1692321979,17.720000000000027
1,olenino,56.2092,33.4889,292.23,94,100,1.56,RU,1692321979,19.08000000000004
2,waitangi,-43.9535,-176.5597,282.49,76,100,3.58,NZ,1692321980,9.340000000000032
3,blackmans bay,-43.0167,147.3167,285.11,64,100,3.58,AU,1692321980,11.960000000000036
4,san julian,21.0167,-102.1667,289.0,88,100,3.0,MX,1692321981,15.850000000000023
5,albany,42.6001,-73.9662,295.51,85,0,3.08,US,1692321683,22.360000000000014
6,wailua homesteads,22.0669,-159.378,302.59,73,40,6.69,US,1692321983,29.439999999999998
7,baise city,23.8997,106.6133,301.66,90,100,0.78,CN,1692321983,28.510000000000048
8,grytviken,-54.2811,-36.5092,265.4,76,15,8.21,GS,1692321984,-7.75
9,papatowai,-46.5619,169.4708,284.42,66,94,3.49,NZ,1692321984,11.270000000000039
10,kiunga,-6.1219,141.2906,300.42,71,100,2.26,PG,1692321798,27.27000000000004
11,itoman,26.1247,127.6694,302.58,84,75,1.54,JP,1692321985,29.430000000000007
12,puerto natales,-51.7236,-72.4875,271.0,83,93,1.15,CL,1692321790,-2.1499999999999773
13,rabo de peixe,37.8,-25.5833,296.88,94,75,8.75,PT,1692321986,23.730000000000018
14,lisakovsk,52.5369,62.4936,292.87,58,5,2.23,KZ,1692321986,19.720000000000027
15,lihue,21.9789,-159.3672,302.92,66,40,6.69,US,1692321770,29.77000000000004
16,punta arenas,-53.15,-70.9167,277.21,87,100,5.66,CL,1692321987,4.060000000000002
17,beyneu,45.3167,55.2,299.31,42,0,3.83,KZ,1692321988,26.160000000000025
18,longyearbyen,78.2186,15.6401,279.06,93,75,3.6,SJ,1692321988,5.910000000000025
19,invercargill,-46.4,168.35,281.71,88,100,3.51,NZ,1692321989,8.560000000000002
20,bageshwar,29.85,79.7667,294.82,91,44,0.91,IN,1692321989,21.670000000000016
21,dryden,49.7833,-92.7503,290.31,55,0,2.57,CA,1692321990,17.160000000000025
22,vilyuchinsk,52.9306,158.4028,292.3,96,100,1.82,RU,1692321990,19.150000000000034
23,alaghsas,17.0187,8.0168,305.37,36,47,2.09,NE,1692321991,32.22000000000003
24,letlhakane,-21.4167,25.5833,287.83,51,36,4.12,BW,1692321991,14.680000000000007
25,ushuaia,-54.8,-68.3,274.96,64,0,2.06,AR,1692321992,1.8100000000000023
26,porto velho,-8.7619,-63.9039,300.18,78,0,1.03,BR,1692321813,27.03000000000003
27,sao paulo de olivenca,-3.3783,-68.8725,299.48,77,96,0.83,BR,1692321993,26.33000000000004
28,happy valley-goose bay,53.3168,-60.3315,294.32,64,40,3.09,CA,1692321993,21.170000000000016
29,hamilton,39.1834,-84.5333,294.84,90,40,4.12,US,1692321994,21.689999999999998
30,kayyerkan,69.3786,87.7439,283.87,93,1,1.22,RU,1692321994,10.720000000000027
31,aasiaat,68.7098,-52.8699,274.38,75,0,2.01,GL,1692321995,1.2300000000000182
32,rongelap,11.1635,166.8941,301.64,74,27,5.52,MH,1692321995,28.49000000000001
33,susanville,40.4163,-120.653,304.07,40,20,3.6,US,1692321996,30.920000000000016
